"ReefCluster","UniqueSite","Larger","Site_Lat","Site_Long","Protection","DepthCategory","CleanHabitat","CensusMethod","Total_sampling_area","Regional_population_growth","Ocean_prod","HDI","Larger_pop_size","Reef_fish_landings_per_km2","NTZarea","Geographic_Basin","Local","Atoll","Trait_diversity","Scraping_potential","MPAage","site_meanSST_anom_C","Voice_accountability","Number.of.transects","gravNP2_cluster","nearpop","neartt","gravNC2_cluster","tt_NM","pop_NM","PA_toppredators","TotalBiomass_kgha"
"RC_362",2571,"Indonesia",-8.486,122.342,"Fished","4-10m","Slope","Standard belt transect",500,11.43058562,0.299,0.662,240676485,10.2749352941321,0,"Central Indo-Pacific","Indonesia",0,2.90615611876069,27.6524442,0,0.69144328435262,-0.09,2,27.74319288,249.688736,3,0.426355175,813.8483759,282396,0,133.0442455
"RC_363",2572,"Indonesia",-8.45386,122.32913,"Fished","4-10m","Slope","Standard belt transect",500,11.43057469,0.294,0.662,240676485,10.2749352941321,0,"Central Indo-Pacific","Indonesia",0,2.54054057047721,9.5991857,0,0.69144328435262,-0.09,2,1.189994906,249.688736,14.48528099,0.413225428,826.676803,282396,0,160.9152276
"RC_363",2573,"Indonesia",-8.43986,122.32842,"Fished","4-10m","Slope","Standard belt transect",500,11.43057469,0.294,0.662,240676485,10.2749352941321,0,"Central Indo-Pacific","Indonesia",0,3.62901079397326,70.58748283,0,0.69144328435262,-0.09,2,1.189994906,249.688736,14.48528099,0.413225428,826.676803,282396,0,350.2259356
"RC_364",2574,"Indonesia",-8.48432,122.46081,"Fished","4-10m","Slope","Standard belt transect",500,11.42958998,0.304,0.662,240676485,10.2749352941321,0,"Central Indo-Pacific","Indonesia",0,1.89549461411431,49.15409946,0,0.69144328435262,-0.09,2,1,9,3,0.432299985,808.2331522,282396,0,79.38047293
"RC_364",2577,"Indonesia",-8.48255,122.48146,"Fished","4-10m","Slope","Standard belt transect",500,11.42958998,0.304,0.662,240676485,10.2749352941321,0,"Central Indo-Pacific","Indonesia",0,2.58921746318089,21.5178335,0,0.69144328435262,-0.09,2,1,9,3,0.432299985,808.2331522,282396,0,151.3165932
"RC_365",2576,"Indonesia",-8.435,122.499,"Fished","0-4m","Crest","Standard belt transect",500,11.42935465,0.291,0.662,240676485,10.2749352941321,0,"Central Indo-Pacific","Indonesia",0,3.37784728815009,24.81438104,0,0.69144328435262,-0.09,2,0.666666667,6,3,0.422013651,818.0239533,282396,0,503.751065
"RC_366",2393,"Indonesia",5.87792,95.35384,"Restricted","4-10m","Slope","Standard belt transect",500,9.829698277,0.25,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,1.87372505868007,120.7567449,0,0.441744645436605,-0.09,2,56.04763412,56.04763412,1,15.3396457,127.8553391,250757,0,422.4447248
"RC_369",2394,"Indonesia",5.86718,95.26966,"Restricted","0-4m","Slope","Standard belt transect",500,9.830325676,0.248,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,4.57750016011129,45.28017006,0,0.441744645436605,-0.09,2,17.77732849,17.77732849,1,26.75481853,96.81118318,250757,0,785.5279906
"RC_369",2395,"Indonesia",5.86718,95.26966,"Restricted","4-10m","Slope","Standard belt transect",500,9.830325676,0.248,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,2.75862408194963,187.4529544,0,0.441744645436605,-0.09,2,17.77732849,17.77732849,1,26.75481853,96.81118318,250757,0,427.5411845
"RC_369",2400,"Indonesia",5.84835,95.28406,"Fished","4-10m","Slope","Standard belt transect",500,9.830325676,0.248,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,1.83693805042528,123.8607829,0,0.441744645436605,-0.09,2,17.77732849,17.77732849,1,26.75481853,96.81118318,250757,0,320.576577
"RC_369",2399,"Indonesia",5.84835,95.28406,"Fished","0-4m","Slope","Standard belt transect",500,9.830325676,0.248,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,2.11469548150215,73.94378292,0,0.441744645436605,-0.09,2,17.77732849,17.77732849,1,26.75481853,96.81118318,250757,0,528.0022246
"RC_369",2404,"Indonesia",5.87248,95.26192,"Restricted","4-10m","Slope","Standard belt transect",500,9.830325676,0.248,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,2.56862955062474,220.0818017,0,0.441744645436605,-0.09,2,17.77732849,17.77732849,1,26.75481853,96.81118318,250757,0,943.6671975
"RC_369",2403,"Indonesia",5.87248,95.26192,"Restricted","4-10m","Slope","Standard belt transect",500,9.830325676,0.248,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,1.87534158539915,195.9346616,0,0.441744645436605,-0.09,2,17.77732849,17.77732849,1,26.75481853,96.81118318,250757,0,467.858905
"RC_37",330,"Indonesia",1.8031,118.89709,"Restricted","0-4m","Crest","Standard belt transect",750,21.21397105,0.289,0.662,240676485,10.2749352941321,0,"Central Indo-Pacific","Indonesia",0,2.73128290088166,642.0917233,0,0.398755073547363,-0.09,3,9.98e-05,3.101247549,176.3086548,0.438232212,900.2432534,355160,0,312.182132
"RC_375",2397,"Indonesia",5.89787,95.25255,"Restricted","4-10m","Slope","Standard belt transect",500,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,1.83933311267533,509.6704963,0,0.441744645436605,-0.09,2,4,4,1,23.39075554,103.5391052,250757,0,604.2141416
"RC_375",2411,"Indonesia",5.88679,95.25651,"Restricted","4-10m","Slope","Standard belt transect",250,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,2.4092926811536,368.9203638,0,0.441744645436605,-0.09,1,4,4,1,23.39075554,103.5391052,250757,0,584.1693987
"RC_375",2401,"Indonesia",5.88585,95.25413,"Restricted","4-10m","Slope","Standard belt transect",500,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,1.88127330994185,287.2550046,0,0.441744645436605,-0.09,2,4,4,1,23.39075554,103.5391052,250757,0,452.5801638
"RC_375",2402,"Indonesia",5.88585,95.25413,"Restricted","4-10m","Slope","Standard belt transect",500,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,1.76486287921188,195.5737337,0,0.441744645436605,-0.09,2,4,4,1,23.39075554,103.5391052,250757,0,258.3900761
"RC_375",2396,"Indonesia",5.89787,95.25255,"Restricted","4-10m","Slope","Standard belt transect",500,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,2.25612918515914,61.21559116,0,0.441744645436605,-0.09,2,4,4,1,23.39075554,103.5391052,250757,0,953.1762327
"RC_375",2418,"Indonesia",5.88102,95.26021,"Restricted","4-10m","Flat","Standard belt transect",500,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,1.75317144735778,274.1405814,0,0.441744645436605,-0.09,2,4,4,1,23.39075554,103.5391052,250757,0,170.1701461
"RC_375",2419,"Indonesia",5.89492,95.25287,"Restricted","4-10m","Slope","Standard belt transect",500,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,2.47213890837832,84.09391811,0,0.441744645436605,-0.09,2,4,4,1,23.39075554,103.5391052,250757,0,152.5882819
"RC_375",2420,"Indonesia",5.89492,95.25287,"Restricted","4-10m","Slope","Standard belt transect",500,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,2.65232056984977,225.4844695,0,0.441744645436605,-0.09,2,4,4,1,23.39075554,103.5391052,250757,1,318.5078581
"RC_375",2421,"Indonesia",5.88521,95.25435,"Restricted","4-10m","Slope","Standard belt transect",500,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,2.04337611500532,60.29786839,0,0.441744645436605,-0.09,2,4,4,1,23.39075554,103.5391052,250757,0,96.72986415
"RC_375",2409,"Indonesia",5.88147,95.25631,"Restricted","4-10m","Slope","Standard belt transect",500,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,1.88754073062791,169.4668805,0,0.441744645436605,-0.09,2,4,4,1,23.39075554,103.5391052,250757,0,210.9826015
"RC_375",2410,"Indonesia",5.88147,95.25631,"Restricted",">10m","Slope","Standard belt transect",500,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,2.8895210622376,24.59766854,0,0.441744645436605,-0.09,2,4,4,1,23.39075554,103.5391052,250757,0,94.38064716
"RC_375",2415,"Indonesia",5.88289,95.25118,"Restricted","0-4m","Slope","Standard belt transect",250,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,1.23239180272721,124.3956,0,0.441744645436605,-0.09,1,4,4,1,23.39075554,103.5391052,250757,0,2649.366785
"RC_375",2412,"Indonesia",5.88679,95.25651,"Restricted","4-10m","Slope","Standard belt transect",250,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,2.31897365465418,334.2369741,0,0.441744645436605,-0.09,1,4,4,1,23.39075554,103.5391052,250757,0,445.2422726
"RC_375",2413,"Indonesia",5.88679,95.25651,"Restricted","4-10m","Slope","Standard belt transect",500,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,1.89849012295477,491.3443073,0,0.441744645436605,-0.09,2,4,4,1,23.39075554,103.5391052,250757,0,475.2621695
"RC_375",2414,"Indonesia",5.88277,95.24911,"Restricted","0-4m","Slope","Standard belt transect",500,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,2.27590300336989,148.563945,0,0.441744645436605,-0.09,2,4,4,1,23.39075554,103.5391052,250757,0,317.6412271
"RC_375",2427,"Indonesia",5.89083,95.25436,"Restricted","4-10m","Slope","Standard belt transect",500,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,4.30632483633575,128.2548678,0,0.441744645436605,-0.09,2,4,4,1,23.39075554,103.5391052,250757,1,1365.086324
"RC_375",2416,"Indonesia",5.88289,95.25118,"Restricted","4-10m","Slope","Standard belt transect",250,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,1.25067493274525,24.28979963,0,0.441744645436605,-0.09,1,4,4,1,23.39075554,103.5391052,250757,0,1628.913724
"RC_375",2417,"Indonesia",5.88102,95.26021,"Restricted","0-4m","Flat","Standard belt transect",250,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,2.47126820714621,589.724858,0,0.441744645436605,-0.09,1,4,4,1,23.39075554,103.5391052,250757,0,758.1566488
"RC_375",2422,"Indonesia",5.88521,95.25435,"Restricted","4-10m","Slope","Standard belt transect",500,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,2.72763211431723,149.321626,0,0.441744645436605,-0.09,2,4,4,1,23.39075554,103.5391052,250757,0,172.4829879
"RC_375",2428,"Indonesia",5.89083,95.25436,"Restricted","4-10m","Slope","Standard belt transect",500,9.830770002,0.247,0.662,240676485,10.2749352941321,0,"Western Indo-Pacific","Indonesia",0,2.19460135029285,411.3079225,0,0.441744645436605,-0.09,2,4,4,1,23.39075554,103.5391052,250757,0,531.7978471
